Titulo,Año_lanzamiento,Calificacion,Duracion_min,Genero,IMDB_Rating,Director,Ganancia
The Shawshank Redemption,1994,A,142,Drama,9.3,Frank Darabont,"28,341,469"
The Godfather,1972,A,175,Crime,9.2,Francis Ford Coppola,"134,966,411"
The Dark Knight,2008,UA,152,Action,9,Christopher Nolan,"534,858,444"
The Godfather: Part II,1974,A,202,Crime,9,Francis Ford Coppola,"57,300,000"
12 Angry Men,1957,U,96,Crime,9,Sidney Lumet,"4,360,000"
The Lord of the Rings: The Return of the King,2003,U,201,Action,8.9,Peter Jackson,"377,845,905"
Pulp Fiction,1994,A,154,Crime,8.9,Quentin Tarantino,"107,928,762"
The Lord of the Rings: The Fellowship of the Ring,2001,U,178,Action,8.8,Peter Jackson,"315,544,750"
Forrest Gump,1994,UA,142,Drama,8.8,Robert Zemeckis,"330,252,182"
The Lord of the Rings: The Two Towers,2002,UA,179,Action,8.7,Peter Jackson,"342,551,365"
The Matrix,1999,A,136,Action,8.7,Lana Wachowski,"171,479,930"
Goodfellas,1990,A,146,Biography,8.7,Martin Scorsese,"46,836,394"
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,Action,8.7,Irvin Kershner,"290,475,067"
Interstellar,2014,UA,169,Adventure,8.6,Christopher Nolan,"188,020,017"
Star Wars,1977,UA,121,Action,8.6,George Lucas,"322,740,140"
Joker,2019,A,122,Crime,8.5,Todd Phillips,"335,451,311"
The Intouchables,2011,UA,112,Biography,8.5,Olivier Nakache,"13,182,281"
The Prestige,2006,U,130,Drama,8.5,Christopher Nolan,"53,089,891"
The Departed,2006,A,151,"Crime,",8.5,Martin Scorsese,"132,384,315"
The Pianist,2002,R,150,Biography,8.5,Roman Polanski,"32,572,577"
Gladiator,2000,UA,155,Action,8.5,Ridley Scott,"187,705,427"
American History X,1998,R,119,Drama,8.5,Tony Kaye,"6,719,864"
The Lion King,1994,U,88,Animation,8.5,Roger Allers,"422,783,777"
Terminator 2: Judgment Day,1991,U,137,Action,8.5,James Cameron,"204,843,350"
Back to the Future,1985,U,116,Adventure,8.5,Robert Zemeckis,"210,609,762"
Casablanca,1942,U,102,Drama,8.5,Michael Curtiz,"1,024,560"
City Lights,1931,G,87,Comedy,8.5,Charles Chaplin,"19,181"
Spider-Man: Into the Spider-Verse,2018,U,117,Animation,8.4,Bob Persichetti,"190,241,310"
Avengers: Endgame,2019,UA,181,Action,8.4,Anthony Russo,"858,373,000"
Avengers: Infinity War,2018,UA,149,Action,8.4,Anthony Russo,"678,815,482"
Coco,2017,U,105,Animation,8.4,Lee Unkrich,"209,726,015"
Django Unchained,2012,A,165,Drama,8.4,Quentin Tarantino,"162,805,434"
The Dark Knight Rises,2012,UA,164,Action,8.4,Christopher Nolan,"448,139,099"
3 Idiots,2009,UA,170,Comedy,8.4,Rajkumar Hirani,"6,532,908"
WALL·E,2008,U,98,Animation,8.4,Andrew Stanton,"223,808,164"
The Lives of Others,2006,A,137,Drama,8.4,Florian Henckel von Donnersmarck,"11,286,112"
Memento,2000,UA,113,Mystery,8.4,Christopher Nolan,"25,544,867"
Raiders of the Lost Ark,1981,A,115,Action,8.4,Steven Spielberg,"248,159,971"
The Shining,1980,A,146,Drama,8.4,Stanley Kubrick,"44,017,374"
Apocalypse Now,1979,R,147,Drama,8.4,Francis Ford Coppola,"83,471,511"
Alien,1979,R,117,Horror,8.4,Ridley Scott,"78,900,000"
1917,2019,R,119,Drama,8.3,Sam Mendes,"159,227,644"
Inglourious Basterds,2009,A,153,Adventure,8.3,Quentin Tarantino,"120,540,719"
American Beauty,1999,UA,122,Drama,8.3,Sam Mendes,"130,096,601"
Good Will Hunting,1997,U,126,Drama,8.3,Gus Van Sant,"138,433,435"
Toy Story,1995,U,81,Animation,8.3,John Lasseter,"191,796,233"
Braveheart,1995,A,178,Biography,8.3,Mel Gibson,"75,600,000"
Star Wars: Episode VI - Return of the Jedi,1983,U,131,Action,8.3,Richard Marquand,"309,125,409"
The Sting,1973,U,129,Comedy,8.3,George Roy Hill,"159,600,000"
Baahubali 2: The Conclusion,2017,UA,167,Action,8.2,S.S. Rajamouli,"20,186,659"
Warrior,2011,UA,140,Action,8.2,Gavin O'Connor,"13,657,115"
Shutter Island,2010,A,138,Mystery,8.2,Martin Scorsese,"128,012,934"
Up,2009,U,96,Animation,8.2,Pete Docter,"293,004,164"
The Wolf of Wall Street,2013,A,180,Biography,8.2,Martin Scorsese,"116,900,694"
There Will Be Blood,2007,A,158,Drama,8.2,Paul Thomas Anderson,"40,222,514"
Pan's Labyrinth,2006,UA,118,Fantasy,8.2,Guillermo del Toro,"37,634,615"
Toy Story 3,2010,U,103,Animation,8.2,Lee Unkrich,"415,004,880"
V for Vendetta,2005,A,132,Action,8.2,James McTeigue,"70,511,035"
Batman Begins,2005,UA,140,Action,8.2,Christopher Nolan,"206,852,432"
A Beautiful Mind,2001,UA,135,Biography,8.2,Ron Howard,"170,742,341"
Heat,1995,A,170,Crime,8.2,Michael Mann,"67,436,818"
Casino,1995,A,178,Crime,8.2,Martin Scorsese,"42,438,300"
Indiana Jones and the Last Crusade,1989,U,127,Action,8.2,Steven Spielberg,"197,171,806"
Logan,2017,A,137,Action,8.1,James Mangold,"226,277,068"
Hacksaw Ridge,2016,A,139,Biography,8.1,Mel Gibson,"67,209,615"
Inside Out,2015,U,95,Animation,8.1,Pete Docter,"356,461,711"
12 Years a Slave,2013,A,134,Biography,8.1,Steve McQueen,"56,671,993"
Ford v Ferrari,2019,UA,152,Action,8.1,James Mangold,"117,624,028"
Mad Max: Fury Road,2015,UA,120,Action,8.1,George Miller,"154,058,340"
Gran Torino,2008,R,116,Drama,8.1,Clint Eastwood,"148,095,302"
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130,Adventure,8.1,David Yates,"381,011,219"
How to Train Your Dragon,2010,U,98,Animation,8.1,Dean DeBlois,"217,581,231"
Million Dollar Baby,2004,UA,132,Drama,8.1,Clint Eastwood,"100,492,203"
Kill Bill: Vol. 1,2003,R,111,Action,8.1,Quentin Tarantino,"70,099,045"
Finding Nemo,2003,U,100,Animation,8.1,Andrew Stanton,"380,843,261"
Catch Me If You Can,2002,A,141,"Biography,",8.1,Steven Spielberg,"164,615,351"
"Monsters, Inc.",2001,U,92,Animation,8.1,Pete Docter,"289,916,256"
The Sixth Sense,1999,A,107,Drama,8.1,M. Night Shyamalan,"293,506,292"
The Truman Show,1998,U,103,Comedy,8.1,Peter Weir,"125,618,201"
Jurassic Park,1993,UA,127,Action,8.1,Steven Spielberg,"402,453,882"
Dead Poets Society,1989,U,128,Comedy,8.1,Peter Weir,"95,860,116"
Stand by Me,1986,U,89,Adventure,8.1,Rob Reiner,"52,287,414"
Platoon,1986,A,120,Drama,8.1,Oliver Stone,"138,530,565"
The Thing,1982,A,109,Horror,8.1,John Carpenter,"13,782,838"
Pink Floyd: The Wall,1982,UA,95,Drama,8.1,Alan Parker,"22,244,207"
Blade Runner,1982,UA,117,Action,8.1,Ridley Scott,"32,868,943"
Life of Brian,1979,R,94,Comedy,8.1,Terry Jones,"20,045,115"
The Deer Hunter,1978,A,183,Drama,8.1,Michael Cimino,"48,979,328"
Rocky,1976,U,120,Drama,8.1,John G. Avildsen,"117,235,247"
La La Land,2016,A,128,Comedy,8,Damien Chazelle,"151,101,803"
Lion,2016,U,118,Biography,8,Garth Davis,"51,739,495"
The Martian,2015,UA,144,Adventure,8,Ridley Scott,"228,433,663"
Zootopia,2016,U,108,Animation,8,Byron Howard,"341,268,248"
Wonder,2017,U,113,Drama,8,Stephen Chbosky,"132,422,809"
The Imitation Game,2014,UA,114,Biography,8,Morten Tyldum,"91,125,683"
Guardians of the Galaxy,2014,UA,121,Action,8,James Gunn,"333,176,600"
Blade Runner 2049,2017,UA,164,Action,8,Denis Villeneuve,"92,054,159"
Bohemian Rhapsody,2018,UA,134,Biography,8,Bryan Singer,"216,428,042"
The Revenant,2015,A,156,Action,8,Alejandro G. Iñárritu,"183,637,894"
The King's Speech,2010,U,118,Biography,8,Tom Hooper,"138,797,449"
The Help,2011,UA,146,Drama,8,Tate Taylor,"169,708,112"
Deadpool,2016,R,108,Action,8,Tim Miller,"363,070,709"
Black Swan,2010,A,108,Drama,8,Darren Aronofsky,"106,954,678"
The Avengers,2012,UA,143,Action,8,Joss Whedon,"623,279,547"
The Pursuit of Happyness,2006,U,117,Biography,8,Gabriele Muccino,"163,566,459"
Blood Diamond,2006,A,143,Adventure,8,Edward Zwick,"57,366,262"
The Bourne Ultimatum,2007,UA,115,Action,8,Paul Greengrass,"227,471,070"
Ratatouille,2007,U,111,Animation,8,Brad Bird,"206,445,654"
Casino Royale,2006,PG-13,144,Action,8,Martin Campbell,"167,445,960"
Kill Bill: Vol. 2,2004,A,137,Action,8,Quentin Tarantino,"66,208,183"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143,Action,8,Gore Verbinski,"305,413,918"
Big Fish,2003,U,125,Adventure,8,Tim Burton,"66,257,002"
The Incredibles,2004,U,115,Animation,8,Brad Bird,"261,441,092"
Twelve Monkeys,1995,A,129,Mystery,8,Terry Gilliam,"57,141,459"
The Nightmare Before Christmas,1993,U,76,Animation,8,Henry Selick,"75,082,668"
Groundhog Day,1993,U,101,Comedy,8,Harold Ramis,"70,906,973"
Aladdin,1992,U,90,Animation,8,Ron Clements,"217,350,219"
Beauty and the Beast,1991,G,84,Animation,8,Gary Trousdale,"218,967,620"
Dances with Wolves,1990,U,181,Adventure,8,Kevin Costner,"184,208,848"
Do the Right Thing,1989,R,120,Comedy,8,Spike Lee,"27,545,445"
Rain Man,1988,U,133,Drama,8,Barry Levinson,"178,800,000"
Akira,1988,UA,124,Animation,8,Katsuhiro Ôtomo,"553,171"
The Terminator,1984,UA,107,Action,8,James Cameron,"38,400,000"
Gandhi,1982,U,191,Biography,8,Richard Attenborough,"52,767,889"
Knives Out,2019,UA,130,Comedy,7.9,Rian Johnson,"165,359,751"
Thor: Ragnarok,2017,UA,130,Action,7.9,Taika Waititi,"315,058,289"
Nightcrawler,2014,A,117,Crime,7.9,Dan Gilroy,"32,381,218"
Arrival,2016,UA,116,Drama,7.9,Denis Villeneuve,"100,546,139"
Star Wars: Episode VII - The Force Awakens,2015,U,138,Action,7.9,J.J. Abrams,"936,662,225"
X-Men: Days of Future Past,2014,UA,132,Action,7.9,Bryan Singer,"233,921,534"
The Artist,2011,U,100,Comedy,7.9,Michel Hazanavicius,"44,671,682"
Edge of Tomorrow,2014,UA,113,Action,7.9,Doug Liman,"100,206,256"
District 9,2009,A,112,Action,7.9,Neill Blomkamp,"115,646,235"
The Wrestler,2008,UA,109,Drama,7.9,Darren Aronofsky,"26,236,603"
Star Trek,2009,UA,127,Action,7.9,J.J. Abrams,"257,730,019"
Fantastic Mr. Fox,2009,PG,87,Animation,7.9,Wes Anderson,"21,002,919"
